reset my windows password,C1_0.6_3
reset my system password,C1_0.6_3
reset my password,C1_0.6_3
queen is always referred to a godess,C2_0.5_2
queen is looking like a godess,C2_0.5_2
a stronger person can become king in any kingdom,C3_0.5_2
a weeker person cannot become a king because he can be killed anytime,C3_0.5_2
reset my ntid,C4_0.4_2
reset my machine,C4_0.4_2
queen was once a queen young girl queen,Others_0.4_3
king can be killed anytime so we need make him strong,Others_0.4_3
our prince is as strong as rock,Others_0.4_3
